student_id,file,exists,rows,columns,unique_dates,missing_value_cells,total_value_cells,missing_value_percent,min_date,max_date
12,oxygen.csv,0,0,,0,0,0,0.0,,
12,stress.csv,0,0,,0,0,0,0.0,,
13,daily_questions.csv,1,88,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",86,0,176,0.0,2025-02-19,2025-06-07
13,sleep.csv,1,88,"timestamp, overall_score, deep_sleep_in_minutes",86,0,176,0.0,2025-02-26,2025-06-08
13,activity_level.csv,1,63841,"timestamp, level",101,0,63841,0.0,2025-02-25,2025-06-08
13,steps.csv,1,22068,"timestamp, steps",99,0,22068,0.0,2025-02-25,2025-06-08
13,hrv.csv,1,7010,"timestamp, rmssd, coverage, low_frequency, high_frequency",86,0,28040,0.0,2025-02-26,2025-06-07
13,oxygen.csv,1,41817,"timestamp, value",95,0,41817,0.0,2025-02-27,2025-06-08
13,stress.csv,1,76,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",76,0,152,0.0,2025-02-26,2025-06-08
14,daily_questions.csv,1,40,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",39,0,80,0.0,2025-02-20,2025-04-12
14,sleep.csv,0,0,,0,0,0,0.0,,
14,activity_level.csv,0,0,,0,0,0,0.0,,
14,steps.csv,0,0,,0,0,0,0.0,,
14,hrv.csv,0,0,,0,0,0,0.0,,
14,oxygen.csv,0,0,,0,0,0,0.0,,
14,stress.csv,0,0,,0,0,0,0.0,,
15,daily_questions.csv,1,59,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",58,0,118,0.0,2025-02-24,2025-06-07
15,sleep.csv,1,25,"timestamp, overall_score, deep_sleep_in_minutes",24,0,50,0.0,2025-02-25,2025-04-02
15,activity_level.csv,1,26695,"timestamp, level",39,0,26695,0.0,2025-02-25,2025-04-04
15,steps.csv,1,10105,"timestamp, steps",38,0,10105,0.0,2025-02-25,2025-04-03
15,hrv.csv,1,2123,"timestamp, rmssd, coverage, low_frequency, high_frequency",30,0,8492,0.0,2025-02-25,2025-04-02
15,oxygen.csv,1,13249,"timestamp, value",34,0,13249,0.0,2025-02-25,2025-04-03
15,stress.csv,1,18,"DATE, UPDATED_AT, STRESS_SCORE, CALCULATION_FAILED",18,0,36,0.0,2025-02-25,2025-04-02
16,daily_questions.csv,1,71,"timeStampScheduled, timeStampSent, timeStampStart, timeStampStop, originalTimeStampSent, timeZoneOffset, deltaUTC, stress, anxiety",71,0,142,0.0,2025-02-17,2025-06-19
16,sleep.csv,1,69,"timestamp, overall_score, deep_sleep_in_minutes",68,0,138,0.0,2025-02-19,2025-05-05
16,activity_level.csv,1,48506,"timestamp, level",77,0,48506,0.0,2025-02-18,2025-05-05
16,steps.csv,1,17923,"timestamp, steps",77,0,17923,0.0,2025-02-18,2025-05-05
16,hrv.csv,1,5774,"timestamp, rmssd, coverage, low_frequency, high_frequency",73,0,23096,0.0,2025-02-18,2025-05-04
16,oxygen.csv,1,38349,"timestamp, value",76,0,38349,0.0,2025-02-18,2025-05-05
